WorkID,WorkTitle,Genre,GenreID
2362,"2.0 (2018)","Narrative, Movie","20001, 2000130"
2362,"2.0 (2018)","Narrative, Movie","20001, 2000130"
1816,"Memories of the Alhambra","Narrative, TV series or episode","20001, 2000131"
1816,"Memories of the Alhambra","Narrative, TV series or episode","20001, 2000131"
1970,"Spider-Man: Into the Spider-Verse","Narrative, Movie","20001, 2000130"
1970,"Spider-Man: Into the Spider-Verse","Narrative, Movie","20001, 2000130"
1612,"A Song for a New Day","Narrative, Novel","20001, 2000133"
1612,"A Song for a New Day","Narrative, Novel","20001, 2000133"
2665,"And Shall Machines Surrender","Narrative, Novel","20001, 2000133"
2665,"And Shall Machines Surrender","Narrative, Novel","20001, 2000133"
608,Beforeigners,"Narrative, TV series or episode","20001, 2000131"
608,Beforeigners,"Narrative, TV series or episode","20001, 2000131"
368,"Cam Boy","Narrative, Music video","20001, 2000316"
368,"Cam Boy","Narrative, Music video","20001, 2000316"
1001,Exhalation,"Narrative, Short story","20001, 2000134"
1001,Exhalation,"Narrative, Short story","20001, 2000134"
1840,"Fall; or, Dodge in Hell: A Novel","Narrative, Novel","20001, 2000133"
1840,"Fall; or, Dodge in Hell: A Novel","Narrative, Novel","20001, 2000133"
873,"Good boys","Narrative, Movie","20001, 2000130"
873,"Good boys","Narrative, Movie","20001, 2000130"
226,"I Created an AI to Make Procedurally Generated Movies, But They're Horrifying","Narrative, Creepypasta","20001, 2000136"
226,"I Created an AI to Make Procedurally Generated Movies, But They're Horrifying","Narrative, Creepypasta","20001, 2000136"
655,"Infinite Detail: A Novel","Narrative, Novel","20001, 2000133"
655,"Infinite Detail: A Novel","Narrative, Novel","20001, 2000133"
341,"Lost Faith","Narrative, Music video","20001, 2000316"
341,"Lost Faith","Narrative, Music video","20001, 2000316"
1124,"Love, Death & Robots","Narrative, TV series or episode","20001, 2000131"
1124,"Love, Death & Robots","Narrative, TV series or episode","20001, 2000131"
432,"Machines Like Me","Narrative, Novel","20001, 2000133"
432,"Machines Like Me","Narrative, Novel","20001, 2000133"
628,"Ring (TM) Log","Narrative, Electronic literature","20001, 2000137"
628,"Ring (TM) Log","Narrative, Electronic literature","20001, 2000137"
861,"Sound and Fury","Narrative, Music video","20001, 2000316"
861,"Sound and Fury","Narrative, Music video","20001, 2000316"
463,"Spider Man: Far From Home","Narrative, Movie","20001, 2000130"
463,"Spider Man: Far From Home","Narrative, Movie","20001, 2000130"
768,"The Addams Family","Narrative, Movie","20001, 2000130"
768,"The Addams Family","Narrative, Movie","20001, 2000130"
2476,"The Mandalorian","Narrative, TV series or episode","20001, 2000131"
2476,"The Mandalorian","Narrative, TV series or episode","20001, 2000131"
1717,"The Test","Narrative, Novel","20001, 2000133"
1717,"The Test","Narrative, Novel","20001, 2000133"
413,"Years and Years","Narrative, TV series or episode","20001, 2000131"
413,"Years and Years","Narrative, TV series or episode","20001, 2000131"
510,"You•Who? Customised Cinema Installation","Narrative, Movie","20001, 2000130"
510,"You•Who? Customised Cinema Installation","Narrative, Movie","20001, 2000130"
94,"“Thoughts and Prayers”","Narrative, Short story","20001, 2000134"
94,"“Thoughts and Prayers”","Narrative, Short story","20001, 2000134"
2299,"Alita: Battle Angel","Narrative, Movie","20001, 2000130"
2299,"Alita: Battle Angel","Narrative, Movie","20001, 2000130"
2427,"His Dark Materials","Narrative, TV series or episode","20001, 2000131"
2427,"His Dark Materials","Narrative, TV series or episode","20001, 2000131"
2663,"This Time Away","Narrative, Movie","20001, 2000130"
2663,"This Time Away","Narrative, Movie","20001, 2000130"
1950,"A Memory Called Empire","Narrative, Novel","20001, 2000133"
1950,"A Memory Called Empire","Narrative, Novel","20001, 2000133"
2232,Osmosis,"Narrative, TV series or episode","20001, 2000131"
2232,Osmosis,"Narrative, TV series or episode","20001, 2000131"
3252,"Emily Eternal","Narrative, Novel","20001, 2000133"
3252,"Emily Eternal","Narrative, Novel","20001, 2000133"
2101,"Avengers: Endgame","Narrative, Movie","20001, 2000130"
2101,"Avengers: Endgame","Narrative, Movie","20001, 2000130"
2241,"How to Sell Drugs Online (Fast)","Narrative, TV series or episode","20001, 2000131"
2241,"How to Sell Drugs Online (Fast)","Narrative, TV series or episode","20001, 2000131"
2707,"The Old Lie","Narrative, Novel","20001, 2000133"
2707,"The Old Lie","Narrative, Novel","20001, 2000133"
2397,"Android Kunjappan Version 5.25","Narrative, Movie","20001, 2000130"
2397,"Android Kunjappan Version 5.25","Narrative, Movie","20001, 2000130"
1982,"... som duften av en drøm...","Narrative, Novel","20001, 2000133"
1982,"... som duften av en drøm...","Narrative, Novel","20001, 2000133"
2798,Agency,"Narrative, Novel","20001, 2000133"
2798,Agency,"Narrative, Novel","20001, 2000133"
1484,"Brave New World (2020 TV series)","Narrative, TV series or episode","20001, 2000131"
